location,country_id,city,state
937,3,Augusta,GA
938,3,Foxborough,MA
939,3,Honolulu,HI
940,3,Littleton,CO
941,3,Branford,CT
943,3,Scottsdale,AZ
944,3,Mechanicsville,VA
945,3,Seal Beach,CA
946,3,Raritan,NJ
947,3,Sandy Springs,GA
948,3,Midland,MI
949,3,Mahwah,NJ
950,3,Mooresville,NC
951,3,Emeryville,CA
952,3,Pittsfield,MA
953,3,Pebble Beach,CA
954,3,Stoughton,MA
955,3,Santa Rosa,CA
956,3,Tustin,CA
957,3,Los Gatos,CA
958,3,Coraopolis,PA
959,3,Umatilla,OR
960,3,Aiken,SC
961,3,Dodgeville,WI
962,3,Fairfax County,VA
963,3,Woburn,MA
964,3,Universal City,CA
965,3,Yonkers,NY
966,3,Stratford,CT
967,3,Hoffman Estates,IL
968,3,Mayfield Heights,OH
969,3,Mansfield,MA
970,3,Salem,VA
971,3,Campbell,CA
972,3,Clearfield,UT
973,3,Cerritos,CA
974,3,Wallops Island,VA
975,3,Painted Post,NY
976,3,Montreal,WI
977,3,Schofield Barracks,HI
978,3,Chapin,SC
979,3,Allentown,PA
980,3,Patuxent River,MD
981,3,Leawood,KS
982,3,Topeka,KS
983,3,Egypt,AR
984,3,Walnut,CA
985,3,Tyler,TX
986,3,Yakima,WA
987,3,Missoula,MT
988,3,Folsom,CA
989,3,Alameda,CA
990,3,Baton Rouge,LA
991,3,Park City,UT
992,3,Pflugerville,TX
993,3,Hunt Valley,MD
994,3,Dalton,GA
995,3,Carrollton,TX
996,3,Groton,MA
997,3,Sioux Falls,SD
998,3,Warminster,PA
999,3,South Bend,IN
1000,3,Grand Rapids,MI
1001,3,Easton,NY
1002,3,Bellingham,WA
1003,3,Bowling Green,KY
1004,3,Starkey,VA
1005,3,Pipestone,MN
1006,3,Woodinville,WA
1007,3,Markham,IL
1008,3,Golden,CO
1009,3,Fort Lee,NJ
1010,3,San Ramon,CA
1011,3,Malibu,CA
1012,3,Newtown,CT
1013,3,Webster,TX
1014,3,Poway,CA
1015,3,Tysons Corner,VA
1016,3,Glen Echo,MD
1017,3,Novato,CA
1018,3,Long Island,NY
1019,3,Midvale,UT
1020,3,Westminster,CO
1021,3,Cypress,CA
1022,3,Los Altos,CA
1023,3,Greenbelt,MD
1024,3,Copley,OH
1025,3,California,MD
1026,3,Brookfield,WI
1027,3,Roanoke,VA
1028,3,Clemson,SC
1030,3,Ames,IA
1031,3,Foggy Bottom,DC
1032,3,East Lansing,MI
1033,3,Union City,CA
1034,3,Brighton,MA
1035,3,East Setauket,NY
1037,3,Owings Mills,MD
1038,3,Newburyport,MA
1039,3,Burlington,MA
1040,3,La Jolla,CA
1041,3,Laurel,MD
1042,3,Princeton Junction,NJ
1043,3,Dayton,OH
1044,3,Joliet,IL
1045,3,Adelphi,MD
1046,3,Highlands Ranch,CO
1047,3,Watertown,MA
1048,3,Silicon Valley,CA
1049,3,Vero Beach,FL
1050,3,Winchester,MA
1051,3,Lowell,MA
1052,3,Boxborough,MA
1053,3,Billerica,MA
1054,3,Fort Collins,CO
1055,3,Jonesboro,AR
1057,3,Julia,WV
1058,3,East Palo Alto,CA
1059,3,Davis,CA
1060,3,Woodland Hills,CA
1061,3,Gaithersburg,MD
1062,3,Baytown,TX
1063,3,Clifton Park,NY
1064,3,Spokane,WA
1065,3,Westbrook,ME
1066,3,York,NY
1067,3,Wilmington,MA
1068,3,Newton,MA
1069,3,Wharton,NJ
1070,3,Northridge,CA
1071,3,Verona,NY
1072,3,Sunkist,CA
1073,3,Plainsboro,NJ
1074,1,Singapore,Singapore
1075,1,Jurong,Singapore
1076,1,Remote,Singapore
1077,1,Outram,Singapore
1078,1,Bugis,Singapore
1079,1,Tanjong Pagar,Singapore
1080,1,Toa Payoh,Singapore
1081,1,Bedok,Singapore
1082,1,Central Singapore,Singapore
1083,1,Clementi,Singapore
1084,1,Woodlands,Singapore
1085,1,Jurong Island,Singapore
1086,1,Little India,Singapore
