job_id,job_title_id,country_id,job_title,company_name,location_id
p_c414f7db7839e3d2,1,2,"Analyst, Special Projects, Data and Billing",Bayshore HealthCare,132
p_f8cf2e87631d8c8b,1,2,Inventory Analyst,Pure Sunfarms Corporation,83
p_d3f7a877e0b7b4bb,1,2,"Senior Analyst, Ontario Patient-Reported Outcome Measures (P...",Canadian Institute for Health Information,205
p_d44a7d6f6ae32542,1,2,Corporate Statistical Process Control Analyst,Electromac,222
p_4aafa08c370b8744,1,2,Data Analyst Co-op (Spring term),Ridley College (Canada),182
p_2cb4f60e25c9063e,1,2,Production and Inventory Analyst,Natural MedCo.,194
p_1f9eb8105354d013,1,2,database analyst,Tamarack Freight LTD,61
p_17201eec9b5d7e6a,1,2,Market Research Data Analyst,EF Analytics,132
p_e76d55769d9a920f,1,2,Junior Data Analyst,University of Waterloo,216
p_2b3aaa22ce1ea5c3,1,2,Business Process Analyst,LandSure Systems,207
p_6ed3b691042a3b46,1,2,Analyste assurance qualité / QA Analyst,EXFO,135
p_f6c13e5208accc7e,1,2,Business Analyst,ADT by TELUS,205
p_bb662232d749e52e,1,2,Business Data Analyst,Sterling-Turner,205
p_2942c8a1872f94c3,1,2,Observer Analyst,Cubic Corporation,214
p_b7face301b16cbe6,1,2,Business Analyst - Data Analytics & Reporting Solutions - Ex...,Cigna,132
p_0d373afc4adb58a7,1,2,Analyst,Holt Renfrew,205
p_8725134515fb1c69,1,2,Quality Assurance Analyst,Alterna,146
p_f3a3dffddd54bfd9,1,2,Reinsurance Analyst- REACH Program (University)- Toronto,Willis Towers Watson,205
p_4914d832ab8feffd,1,2,Microsoft BI Developer,CGI,135
p_a2aa597b39bd1f3b,1,2,Data Analyst,Lucova,205
p_1e0e627d2e6b134f,1,2,BI Developer,Stantec,174
p_e18a03c950e15ed5,1,2,"Analyst II, Technology Planning and Governance",Moneris Solutions Corporation,93
p_855c47bc3cc027c9,1,2,"Analyst, Payments",IGT,133
p_400dbd091645ea93,1,2,Business Program Manager - Defence & Intelligence,Microsoft,146
p_c05c6908ed47e844,1,2,IT Business Analyst,Tenders2bid,126
p_6fdef48fba8f8374,1,2,Supply Chain Analyst - SDC,Sofina Foods,61
p_c14dea7a10dfc8cf,1,2,Insider Threat Analyst,AstraNorth,205
p_919d7a2a00a86087,1,2,Data Operations Analyst,Centro,205
p_e19dad424a7ef649,1,2,Trade Marketing Analyst,Alpha Foods,207
p_8e58aed5ce7bca61,1,2,Research Analyst (Market-Leading Commercial Real Estate Team...,"SVN Rock Advisors Inc., Brokerage",66
p_6e8c255e4db8c93b,1,2,Data Quality Analyst,Mitsubishi UFJ Fund Services,102
pj_41459aa658cca217,1,2,Jr. Business & Systems Integration Analyst (West Coast Branc...,Plexxis Software,213
p_c0a73881bffc7c40,1,2,Data Analyst,Rose Rocket,205
p_943378f746038b49,1,2,Category Analyst,Canon Canada,61
p_15d8a449d437ffd3,1,2,MARKETING DATA ANALYST -FR,Nvizzio Creations,135
p_c9073177aad81b94,1,2,"Business Support Analyst, Process Management",CNRL,69
p_327d5e7581f4d521,1,2,HR Operations Analyst (Transactions),AXIS Insurance,102
p_94251032fd0349a8,1,2,Marketing Analyst,Linamar Corp,100
p_ee78b22cad61c1a7,1,2,database analyst,FLASH PAY TECHNOLOGY INC.,165
p_31de097673602c09,1,2,Business Analyst,IQ Hunt,216
