Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_79f3c360e95f301e,1,Data Analyst,UST GLOBAL (SINGAPORE) PTE. LIMITED,Singapore,1
p_931f68be90f017ae,1,Investment Banking Analyst 1,Ethos BeathChapman,Singapore,1
p_ada1581e5444b3ad,1,"Analyst, Investor Sales, FIC",ICBC Standard Bank,Singapore,1
p_b014ff24967bfbb6,1,IT SAP Service & Support Analyst,Lonza,Tuas,1
p_1fbee2d9f35d3b30,1,Market Analyst,seagatetec,Singapore,1
p_901fa2ac6d7ac49c,1,Analyst - PID,MHA - Singapore Police Force (SPF),Singapore,1
p_38fab29788ed0453,1,Data Analyst,RINGS.TV PTE. LTD.,Clementi,1
p_999ae69fb974b764,1,"Assistant Analyst (Data Office), Strategic Planning and Rese...",Public Service Division,Outram,1
p_917949d1c585e13c,1,Payroll Analyst,DFS Group,Singapore,1
p_399c3d0dcb37d79e,1,Executive (Business Analyst),THKMC,Singapore,1
p_06ec9d736d2b61dc,1,Business Analyst,PwC,Singapore,1
p_42405bb27b2c3432,1,Business Analyst (Project Coast) Trainee #SGUP,AIA Group,Singapore,1
p_e541d102ed547617,1,IT Site Support Analyst #SGUnitedTraineeships,Thermo Fisher Scientific,Singapore,1
p_fe0697c9f2061330,1,Senior Data Analyst (Marketing Analytics),Shopee,Singapore,1
p_7f1dc028eb7ade4d,1,Knowledge Analyst - Operations,McKinsey & Company,Singapore,1
p_14c3c9a442528466,1,"Industrial Placement 2021, Global Research, Singapore",UBS,Singapore,1
p_da1bb19607b5da86,1,Business Development Analyst - Singapore,Shopee,Singapore,1
p_61ca08ab91deada3,1,Technical Analyst,Sciente Consulting Pte. Ltd,Singapore,1
p_642265ed304e2676,1,Planning Analyst,Trust Recruit Pte Ltd,Singapore,1
p_07798df41d4970f3,1,Marketing Analyst (Product Marketing),UPS,Singapore,1
p_d1947e41cf8e23e5,1,Data Analyst,BTFL PTE. LTD.,Ang Mo Kio,1
p_9c9f0d92eba3680e,1,SGUnited Traineeship/Mid Career Pathways - Investment/Asset...,Keppel Capital,Singapore,1
p_2f23abe1f652c5c4,1,IT Business Analyst - Contract Logistics,Schenker (Asia Pacific) PTE LTD,Singapore,1
p_42029705c9e0dced,1,Functional Business Analyst,Encora,Singapore,1
p_80597b16bc8b44c8,1,Raffles Hotel Singapore - Revenue and Distribution Analyst,RAFFLES,Singapore,1
p_469e3196cefa767d,1,Network Change Management Analyst,Equinix,Remote,1
p_022c169b772ac6f3,1,Conflicts Reporting Analyst,Latham & Watkins LLP,Singapore,1
p_ee193698808e9e33,1,Client Services Analyst,360 Treasury Systems,Singapore,1
p_2b75a9a28c98a19a,1,Sales Analyst,Experian,Central Singapore,1
p_f217e6ee7aa0f406,1,Marketing Analyst Assistant,ARAMCO ASIA SINGAPORE PTE. LTD.,Outram,1
p_8b57b49cf3c78532,1,Pricing Analyst - Finance Pricing,seagatetec,Singapore,1
